,text
9595," Expand the Employer Training Grant to serve 25,000 more Hoosiers, specifically supporting women-, minority- and veteran-owned businesses; and doubling the amount of reimbursable funds to employers"
9596," Support access to the 180 Skills library of online, non-credit courses for up to 100,000 Hoosiers"
9597," Increasing the funding cap from $5,500 to $10,000 for eligible programs
 Allowing Hoosiers with two & four year degrees who have been impacted by #COVID19 to qualify for the grant, & adding new programs, such as the Certified Nursing Assistant & Commercial Driver’s License"
9598,"CARES Act funding enables Indiana to:
 Grow short-term education and training by enhancing the Workforce Ready Grant to provide support to at least 10,000 more Hoosiers in the following ways:"
9599,as well as expanded career coaching and navigation for those who need help figuring out their next steps.
9600,"Federal funding through the CARES Act injects $50 million into the efforts, to scale up short-term education and training opportunities through the Workforce Ready Grant and the Employer Training Grant,"
9601," In addition, the Rapid Recovery initiative is providing enhanced, consolidated and simplified resources for employers with the partnership of the 
@IndianaChamber
."
9602,"Grant & 
@IvyTechCC
's Rapid Recovery program—which will provide free courses & training for 10,000 Hoosiers. https://ivytech.edu/RapidRecovery/"
9603," Take the next step & advance careers w/ convenient access to accelerated programs & credentials that value prior learning and experiences, such as the Workforce Ready"
9604, Connect to opportunities with the assistance of career coaches and navigators to empower Hoosiers to assess and develop their skills and gain better understanding of job needs and opportunities.
9605,"For those thinking through their education and training options, INvestEd will provide free, one-on-one financial aid guidance."
9606,"A comprehensive outreach network will share the state’s resources with Hoosiers from their own trusted sources: community leaders, pastors or other faith leaders and employers."
9607,"An online hub, http://YourNextStepIn.org, provides connection and one-on-one supports for Hoosiers at the touch of their fingertips."
9608,"The Rapid Recovery initiative focuses on helping Hoosiers:
 Learn about options and connect to relevant, simple and real-time job, career, skill and educational resources and funding for personal advancement."
9609,"People are our state’s most valuable resource and they are what define Indiana as a great place to live, work and grow. It is critical that our state is not only providing these services but actively helping people get connected so they take that next step to a better future."
9610,"“Rapid Recovery for a Better Future” combines the leadership of the GWC, Indiana employers, education & training providers, policymakers & state & local partners with the goal of ensuring Indiana’s recovery from #COVID19 & providing a pathway to a better future for every Hoosier."
9611,"Indiana’s Governor’s Workforce Cabinet launched “Rapid Recovery for a Better Future,” which is centered on meeting individual needs by providing comprehensive support for Hoosiers to secure a job, assess & grow their skills, & get the support they need to get back on their feet."
9612,"Today I announced a new initiative to help Hoosiers, communities and businesses get back to work and connected to the resources that can help people move forward during the #COVID19 pandemic."
9613," In 15 minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9614," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9615,a modified 4-H Livestock Show as we continue to slow spread of COVID-19. 2/2
9616,"The 
@IndyStateFair
 is an incredible annual tradition that I and thousands of Hoosiers look forward to every year. While I’ll miss celebrating new memories with all the great food, animals, and exhibits, I support the decision to prioritize safety and hold 1/2"
9617,".
@IndianaOCRA
 will review the applications to ensure they meet requirements and then a multi-agency committee will evaluate the proposals. Awards are expected to be announced in late July.

More information on the grant program can be found at http://ocra.in.gov/nlc.htm."
9618,The first round awarded $28.4 million for 14 broadband expansion infrastructure projects across 18 counties.
9619,"This is the second round of broadband grant funding from my #NextLevelConnections initiative, a $1 billion statewide infrastructure program announced in 2018. The Next Level Connections Broadband Grant program dedicated a total of $100 million to expanding internet in Indiana."
9620,Unserved areas are those without at least one telecommunications provider offering internet fast enough to provide at least 10 Mbps download and 1 Mbps upload.
9621,"For this round of funding, service providers were able to apply for up to $5 million per project to expand service to unserved areas."
9622,"The applications come from 21 different service providers and their requests cover more than 4,100 of the eligible census blocks in 47 counties. Applicants must contribute at least a 20 percent match."
9623,"As #COVID19 further emphasizes the importance of connectivity, this funding will support better e-learning, telehealth and overall quality of life."
9624,"Now more than ever affordable, high quality internet is essential for Hoosiers, and I’m thrilled to be taking the next step to expand access through #NextLevelConnections – the largest single state investment in broadband."
9625,".
@LGSuzanneCrouch
 and I announced that the second round of the #NextLevelConnections Broadband Grant program has received 72 applications requesting a total of nearly $100 million in funding."
9626,"More information may be found at the 
@StateHealthIN
 website at http://coronavirus.in.gov and the 
@CDCgov
 website at https://cdc.gov/coronavirus/2019-ncov/index.html…."
9627,"Additionally, deadlines for the calculation of local taxes were also extended by the executive order.

Click here to see the executive order:"
9628,"Due to the current restrictions on in-person dining in restaurants, the executive order reduces the amount of food sales a restaurant must report to maintain its alcoholic beverage permit."
9629,"Executive Order 20-31 also extends the time period to renew professional licenses, certificates or permits to June 30."
9630,"I also signed Executive Order 20-31 which allows older youth to remain in foster care beyond the age of 18 for the duration of the public health emergency. This will allow them to continue to receive education, workforce training and health benefits."
9631,I have signed Executive Order 20-30 to extend the public health emergency for an additional 30 days to July 4th.
9632,"The HIP Workforce Bridge program will be especially important during our state’s recovery from the COVID pandemic and as Indiana's economy evolves.

Click here to learn more: https://bit.ly/2XsVnU4"
9633," In 15 minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9634," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9635,"To restart Indiana's economic engine, it's critical that we provide Hoosier businesses and entrepreneurs with the support they need to grow and get #BackOnTrack."
9636,"We don’t have more time or lives to lose.

Hoosiers - whether in the privacy of your own home or at a peaceful demonstration - engage in efforts that bridge, not divide.

Only then, will these tense and turbulent times give way to the more optimistic days ahead."
9637," In 15 minutes, I'll hold a virtual press conference to discuss the events of the weekend.

Tune in live at 1:30 p.m. ET (12:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9638," In one hour, I'll hold a virtual press conference to discuss the events of the weekend.

Tune in live at 1:30 p.m. ET (12:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9639," Today I'll hold a virtual press conference to discuss the events of the weekend.

Tune in live at 1:30 p.m. ET (12:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9640,"Proud to have 
@IMS
 helping test for #COVID19."
9641,"In the days ahead, peaceful assembly and clear voices will be important if we are to make progress.  Violence and vandalism will set us back in our shared desire to resolve differences.  Let us again, each of us, be part of the solution. 3/3"
9642,"As I stated yesterday, injuring the innocent in response to an injustice is counterproductive. I’ve asked the Indiana State Police to fully support and make resources available to local communities across our state to ensure our citizens and their property remain safe. 2/3"
9643,"Hoosiers have long been people who find solutions to the challenges we face, whether it be in response to a pandemic or to an injustice like the world witnessed so tragically inflicted upon Mr. George Floyd in Minnesota. 1/3"
9644,"More information may be found at the 
@StateHealthIN
 website at http://coronavirus.in.gov and the 
@CDCgov
 website at https://cdc.gov/coronavirus/2019-ncov/index.html…."
9645,"Since its inception, Indiana has received 26,130 orders for PPE and has fulfilled 25,500 orders, shipping bundles of hand sanitizer, face masks and face shields to companies across the state. To learn more about other #COVID19 resources, visit http://iedc.in.gov/response."
9646,"The state recently launched the Indiana Small Business PPE Marketplace, which serves as an online hub for small businesses and nonprofits employing up to 150 associates that are in need of personal protective equipment (PPE)."
9647,Today's announcement marks another step forward for the state in providing resources and tools to Hoosier businesses and entrepreneurs impacted by #COVID19.
9648,"Additionally, according to the 
@SBAgov
, Indiana is home to approximately 104,335 small businesses that employ fewer than 150 associates, supporting 941,578 Hoosiers across the state."
9649,"Indiana's manufacturing & small business sectors play critical roles in supporting the state's economy. W/ more than 8,500 manufacturing facilities & the highest concentration of manufacturing jobs in the U.S., manufacturing accounts for 27.8% of Indiana's total economic output."
9650,"More information on EASE, which is funded through the state’s 21st Century Research and Technology Fund, is available here: https://mcusercontent.com/1c7397d5fea5d818a66609a67/files/3cb264fd-6713-4b38-8697-f486c3decbbd/EASE_Handout_Final.pdf…"
9651,".
@Indiana_EDC
 will partner with industry stakeholders to develop a project scope for the Smart Manufacturing Studio Lab, mapping out next steps and a plan to source and supply the equipment, working toward a studio launch in early 2021."
9652,"Of these programs, the SAM Focus Fund will launch immediately while the Manufacturing Readiness Grant applications are expected to be available in July with initial grant recommendations beginning in August."
9653," A planned Smart Manufacturing Studio Lab, which will provide lab space and access to state-of-the-art smart manufacturing equipment, enabling businesses to train employees, validate technologies for their business models, and conduct third-party pilot manufacturing."
9654,"companies investing in health care manufacturing technology, providing financial assistance to manufacturers supporting critical #COVID19 response efforts; and"
9655," Manufacturing Readiness Grants, administered in partnership with 
@CONEXUS_IN
, will provide matching grants of up to $200,000 to companies committing to modernizing their operations or integrating smart technologies and processes in order to improve capacity, or to"
9656," The new Smart & Advanced Manufacturing (SAM) Focus Fund, which will make seed and early-stage investments and provide entrepreneurship resources to Indiana manufacturing-focused startups through Elevate Ventures, the state’s venture development partner;"
9657,"prioritizing startup investment and resources, technology modernization and development, and training assistance.

The three EASE initiatives include:"
9658,"long been a key driver of the state’s economy. EASE, which encompasses three complimentary initiatives, is designed to stimulate manufacturing investments that will position Hoosier operations, and the sector overall, for future growth and prosperity by"
9659," Manufacturing Support & Long-Term Growth: The 
@Indiana_EDC
 board of directors approved $10 million to launch the Economic Activity Stabilization and Enhancement (EASE) program aimed at supporting technology and operational advancements in the manufacturing industry, which has"
9660,More information on Indiana SBDC resources is available online; updates on new programs or initiatives that may be added with this funding will be forthcoming.
9661,"Services will be available through the Indiana SBDC’s 10 regional offices across the state and are expected to focus on financial assistance, e-commerce, business adaptation and innovation, disaster resiliency and planning, and reopening plans."
9662,"The funding, which will nearly double the organization’s annual federal appropriations, will enable Indiana SBDC to increase no-cost services, such as counseling and training, for businesses that were in operation prior to and that have been impacted by #COVID19."
9663," Small Business Relief & Planning Resources: The Indiana Small Business Development Center (Indiana SBDC) received nearly $3.7 million from the 
@SBAgov
 through the CARES Act to support increased resources for Hoosier entrepreneurs and small businesses over the next 18 months."
9664,"Of the $30 million allocated to the fund, at least $5 million will be reserved for certified minority- and women-owned businesses. 

More information on the program, including additional eligibility requirements, is available here: https://mcusercontent.com/1c7397d5fea5d818a66609a67/files/2ac98567-1c53-44a1-bea1-c5910b641251/BackOnTrack_IN_FAQ_Small_Business_Restart_Fund.pdf…"
9665,"Eligible small businesses that demonstrate a revenue loss of at least 40% will be awarded up to $2,500 for each month while small businesses that demonstrate a revenue loss of at least 80% will be awarded up to $5,000 for each month, with grants issued up to $10,000 per company."
9666,"payments for real or personal property, and safety investments, such as personal protective equipment (PPE) and infrastructure improvements."
9667,"the global pandemic. Indiana small businesses with fewer than 50 employees and $5 million in annual revenue that have experienced a 40% drop in revenue will be eligible to be reimbursed for up to 80% of qualified expenses, such as rent or mortgage payments, utilities, lease"
9668," Small Business Restart Fund: I approved $30 million in federal funding made available through the CARES Act to small business restart grants, helping accelerate the speed of economic recovery activity by providing working capital to cover certain expenses related to"
9669,"To safely guide a return to economic activity, the state is committed to deploying federal relief funds under the CARES Act in coordination with Indiana's Economic Relief and Recovery Team, while targeting initiatives aimed at achieving long-term economic stabilization."
9670,"These initiatives will ensure that two critical drivers of our state's economy have access to resources and technological tools that allow them to continue competing and leading in the 21st century economy, while further positioning our state for long-term economic growth."
9671,"To restart Indiana's economic engine, it's critical that we provide Hoosier businesses and entrepreneurs with the support they need to grow and get #BackOnTrack."
9672,"Through these initiatives, the state will allocate nearly $44 million to provide support and resources including approximately $37 million in direct funding through grants and investments to small businesses and manufacturers – two key drivers of the Hoosier economy."
9673,Today I announced several new economic recovery initiatives designed to bolster critical relief efforts while encouraging long-term planning and investments to stimulate Indiana’s economy well into the future.
9674," In 15 minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9675," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9676,"The Class of 2020 will make Indiana and our world a better place. Here’s a great message for graduates from the 
@Pacers
 and 
@IndianaFever
."
9677,I'm confident that the Class of 2020 will make Indiana and our world a better place. Congratulations graduates!
9678," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9679,We have seen a wide range of healthcare workers step up to aid Hoosiers during the #COVID19 pandemic. One group of nearly 125 doctors graduated early from medical school to join in the fight. #INthistogether
9680,"Today we honor the lasting legacy of those who valiantly served and gave their all. #COVID19 may keep us from gathering, but it can't dampen our resolve to honor the memory of those who were taken from us too soon. #MemorialDay"
9681," In 15 minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9682," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9683,#INthistogether
9684,"Congratulations to Hoosier 
@ChaseBriscoe5
 on your incredible win today at Darlington, while racing with a heavy heart. Our prayers are with your family in this difficult time."
9685,"More information may be found at the 
@StateHealthIN
 website at http://coronavirus.in.gov and the 
@CDCgov
 website at https://cdc.gov/coronavirus/2019-ncov/index.html…."
9686,Answers to frequently asked questions and instructions to file for COVID-19-related unemployment are available at http://Unemployment.IN.gov.
9687,"The Critical Industries Hotline continues to be available from 9 a.m. to 6 p.m. ET Monday through Friday to respond to business and industry questions about whether a business is considered essential. 
 877-820-0890
 covidresponse@iedc.in.gov"
9688,I have signed an executive order implementing stage 3 of the #BackOnTrack Indiana roadmap. The executive order can be found here:
9689,"If health indicators remain positive, the state will move to stage 4 in mid-June. To learn more about the different stages and the associated dates to get a better understanding about where we’re going as a state, click here to see the full plan: http://BackOnTrack.in.gov"
9690,"Movie theaters and playgrounds, which had been projected to open in stage 3, will remain closed. Movie theaters are now projected to open along with other entertainment facilities and venues during stage 4. Playgrounds are to be determined."
9691,"Personal services such as hair salons, barber shops, nail salons, spas and tattoo parlors may continue to be open by appointment only and must follow social distancing guidelines."
9692,"Restaurants and bars with restaurant services may continue to operate at 50% capacity, but bar seating must remain closed."
9693,"Youth summer day camps may open on June 1.

Raceways may open with restrictions and no spectators.

Campgrounds may open restrictions, including social distancing and sanitation precautions. State park inns will reopen."
9694,"Community recreational youth and adult sports leagues may resume practices and conditioning while adhering to social gathering and social distancing guidelines. Contact sports, such as lacrosse and football, are prohibited, but conditioning and non-contact drills may take place."
9695,"Community pools may open according to 
@CDCgov
 guidance. Community tennis and basketball courts, soccer and baseball fields, YMCA programs, and similar facilities may open with social gathering and social distancing guidelines in place."
9696,"Gyms, fitness centers, yoga studios, martial arts studios, and similar facilities may open with restrictions. Class sizes should be limited. Equipment must be spaced to accommodate social distancing and cleaned after each use. No contact activities are permitted."
9697,"Social gatherings of up to 100 people will be permitted following the 
@CDCgov
's social distancing guidelines.

Retail and commercial businesses may open at 75% capacity. Shopping malls can open at 75% capacity with indoor common areas restricted to 50% capacity."
9698,"In Stage 3, Hoosiers 65 and over and those with high-risk health conditions – who are the most vulnerable to #COVID19 – should remain at home as much as possible. Face coverings in public places are recommended. Hoosiers who can work from home are encouraged to continue to do so."
9699,"If these principles cannot be met, all or portions of the state may need to pause on moving forward or may need to return to an earlier phase of my stay-at-home order."
9700,"As the state lifts restrictions and more people return to work, visit a store or restaurant, and participate in more activities, the number of #COVID19 cases will increase."
9701," The state retains its ability to test all Hoosiers who are COVID-19 symptomatic as well as health care workers, first responders, & frontline employees
 Health officials have systems in place to contact all individuals who test positive for #COVID19 & expand contact tracing"
9702," The number of hospitalized #COVID19 patients statewide has decreased for 14 days
 The state retains its surge capacity for critical care beds and ventilators"
9703,I have used data to drive decisions since the state’s first case of the #COVID19 in early March and will continue to do so as the state contemplates a sector-by-sector reset. The state will move to reopen while continuing to monitor and respond to these four guiding principles:
9704,We continue to remain vigilant about protecting Hoosiers’ health while taking responsible steps to further open our state’s economy. Moving to stage 3 is possible because Hoosiers across the state have worked together and made sacrifices to slow the spread.
9705,"Indiana Back On Track has five stages. For Cass, Lake and Marion counties – which started Stage 2 after other counties, stage 3 may begin on June 1. Local governments may impose more restrictive guidelines."
9706,"Today I announced that because health indicators remain positive, most of the state will advance to stage 3 of the #BackOnTrack Indiana plan on Friday, May 22."
9707," In 15 minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9708," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9709,Teachers across our state have stepped up during a pandemic to continue helping kids learn. Congratulations to our Hoosier teachers for being recognized as 2021 Indiana Teacher of the Year!
9710,#INthistogether
9711,Our Hoosier EMS professionals spring into action & answer the call every day ⁠— & we're so grateful. Thank you for all you continue to do during #COVID19. #EMSWeek2020
9712," In 15 minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9713," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9714,"A list of resources around naloxone may be found at the 
@StateHealthIN
 website at http://optin.in.gov."
9715,"This was initially communicated to IHCP providers through this bulletin (when) and further guidance will be published soon. Indiana Health Coverage Programs and the 
@IDHS
 are also planning training sessions to provide guidance and to answer any questions."
9716,"Effective July 1, Indiana Health Coverage Programs, which includes the Healthy Indiana Plan, Hoosier Healthwise, Hoosier Care Connect and Traditional Medicaid, will reimburse specialty providers who bill the state after a naloxone administration."
9717,"Previously, EMS personnel were able to administer naloxone under an expiring federal grant. Including naloxone as a covered Medicaid benefit will help ensure funding is available for EMS first responders to continue to administer naloxone."
9718,"The change in payment policy will be effective July 1, and was made in consultation the U.S. Centers for Medicare and Medicaid Services. Indiana will become one of the first states to pay EMS providers for both the administration of the drug and the medication itself."
9719,".
@FSSAIndiana
 and 
@IDHS
 also announced today that Indiana’s emergency medical responders will be reimbursed in full through the state’s Medicaid program when they administer naloxone."
9720,"First responders, families, caregivers and other individuals who would like to receive a supply of naloxone can register online at http://overdoselifeline.org/2020-indiana-naloxone-request…."
9721,"The state’s partnership with Overdose Lifeline, Inc. allows local health departments to devote their resources to the #COVID19 public health emergency."
9722,"Local health departments registered with the 
@StateHealthIN
 as entities to dispense naloxone may be experiencing limited access to resources due to the #COVID19 pandemic."
9723,"Naloxone is a critical tool for individuals, families, first responders and communities to help reduce opioid overdose deaths. Access to naloxone, however, continues to be limited in some communities."
9724,"responders, families, friends and others who are likely to be the first on the scene if someone overdoses. The organization has been on the front lines of the opioid epidemic since 2014."
9725,"Overdose Lifeline, Inc., an Indiana nonprofit dedicated to helping individuals, families and communities affected by substance use disorder through advocacy, education, harm reduction, prevention, resources and support, will distribute 25,000 doses of naloxone to first"
9726,"Naloxone, or Narcan, is a medication approved to prevent overdose by opioids. Naloxone is given when a person is showing signs of opioid overdose.

It blocks the toxic effects of the overdose and is often the difference between a patient living and dying."
9727,Funds were made available by the federal Substance Abuse and Mental Health Services Administration’s state opioid response grant.
9728,"In the face of #COVID19, it’s even more imperative that we provide resources and support for people with substance use disorders. Making potentially lifesaving treatments more readily available is one of the top ways we can address this crisis."
9729,"Today 
@FSSAIndiana
 and I announced the state will fund a nearly $1 million distribution of the opioid reversal agent naloxone to ensure the medication reaches Hoosiers who are at-risk of overdose."
9730,Here are some great resources for Hoosiers as we fight #COVID19.
9731," In 15 minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9732," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9733,It takes a special person to run towards danger when everyone else is running away. Thank you to all of our heroes who have made the ultimate sacrifice to keep us safe. #PeaceOfficersMemorialDay
9734,#ShareTheGoodIN
9735,Thank you to the Shelby County Tourism and Visitors Bureau for the work you are doing in your community and for sending me this shirt to help spread the word during today's #COVID19 press conference. #INthistogether
9736," In 15 minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9737," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9738,Our state's food banks and pantries are stepping up to feed Hoosiers in need. They need your help and support. #INthistogether
9739,"Starting this week, we've moved our press conferences to Monday, Wednesday, & Friday at 2:30 p.m. ET
@StateHealthIN
 will continue to update our numbers daily at https://coronavirus.in.gov.

We'll continue to provide #COVID19 updates as we work together to get Indiana #BackOnTrack."
9740,"We are opening 50 #COVID19 testing sites across the state. The test is free for all Hoosiers. If you have symptoms, have been exposed to #COVID19, or are at a higher health risk, make an appointment today. #INthistogether"
9741," In 15 minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9742,Hope happens when good people attend to needs and a calling.
9743," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9744,"More information may be found at the 
@StateHealthIN
 website at http://coronavirus.in.gov and the 
@CDCgov
 website at https://cdc.gov/coronavirus/2019-ncov/index.html…."
9745,"The executive order also extends specific individual and business tax deadlines to match federal law.

Click here to see the executive order:"
9746,"In an effort to recruit poll workers for Indiana’s upcoming primary election, the executive order also ensures election workers are able to collect their stipend without reducing their unemployment benefits."
9747,"The EO also extends the 
@INBMV
's deadlines for title transactions, salvage titles, and off-road vehicle and snowmobile titles.

Additionally, the EO provides an extension to June 4 for anyone who has an expiring state-issued professional license or permit."
9748,"Today I signed Executive Order 20-27 to further extend 
@INBMV
 renewal deadlines. Driver’s licenses, identification cards and vehicle registrations that expire prior to June 4 will now be valid through June 4."
9749," In 15 minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9750," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9751,Vuelta al camino el plan de Indiana explicado.
9752," In 15 minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9753," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9754,"Today & every day, thank you to our nurses who are on the front lines caring for Hoosiers during #COVID19. #NationalNursesWeek"
9755," In 15 minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9756," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9757,The Indiana Small Business PPE Marketplace is live! Visit http://BackOnTrack.in.gov to learn more.
9758,Registration is open now at http://lhi.care/covidtesting.
9759,Thank you teachers for inspiring classrooms across Indiana during this difficult #COVID19 pandemic. #TeacherAppreciationDay
9760," In 15 minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9761," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9762,"Thanks to the discipline and actions of 6.7 million Hoosiers, we're ready to move ahead in a measured way. Let’s safely open Indiana’s economy and remain vigilant about protecting our health and well-being. Ultimately, we will get #BackOnTrack and create an even stronger Indiana."
9763," In fifteen minutes, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9764," In one hour, I'll hold a virtual press conference to provide updates in the fight against #COVID19. 

Tune in live at 2:30 p.m. ET (1:30 p.m. CT).
 Watch livestream: http://bit.ly/3bhQu4i
 Twitter live"
9765,"Students in all 92 counties across our state are continuing to connect & learn during the #COVID19 pandemic. Thank you to all the dedicated educators that are ensuring a bright future for Hoosiers for years to come.

Teacher Appreciation Week proclamation: https://in.gov/gov/files/Governor_Holcomb_Teacher_Appreciation_Week_proclamation.pdf…"
9766,".
@StateHealthIN
 will be offering 5 new #COVID19 drive-thru testing clinics this week."
9767,"The 
@500Festival
 #IndyMini may look different this year, but I'm still cheering for everyone who is participating while social distancing. Good luck!"
9768,"More information may be found at the 
@StateHealthIN
 website at http://coronavirus.in.gov and the 
@CDCgov
 website at https://cdc.gov/coronavirus/2019-ncov/index.html…."
9769,Answers to frequently asked questions and instructions to file for #COVID19-related unemployment are available at http://Unemployment.IN.gov.
9770,"The Critical Industries Hotline continues to be available from 9 a.m. to 6 p.m. ET Monday through Friday to respond to business and industry questions about whether a business is considered essential. 
 877-820-0890
 covidresponse@iedc.in.gov"
9771,Click here to read my remarks from today: https://backontrack.in.gov/files/05.01.2020_Governor%20Holcomb%20remarks_Getting%20Indiana%20Back%20on%20Track_public....pdf…
9772,I will sign executive orders implementing the plan. The executive orders will be posted at this link:
9773,"If health indicators remain positive, the state will move to Stage 3. To learn more about the different stages and the associated dates to get a better understanding about where we’re going as a state, click here to see the full plan: http://BackOnTrack.in.gov"
9774,"Starting May 8th, for all of the state’s counties, indoor worship services may also convene, following specific social distancing guidelines – while those 65 and older and those at elevated risk will be asked to stay home."
9775,"Restaurants & bars that serve food may open starting May 11 @ 50% capacity, but bar seating will remain closed. Personal services - hair salons, barber shops, nail salons, spas and tattoo parlors - may open on May 11 by appointment only & must follow social distancing guidelines."
9776,"Retail and commercial businesses may open at 50% capacity. Examples include apparel, furniture, jewelry and liquor stores that have been operating as curbside or delivery only. Shopping malls can open at 50% capacity with indoor common areas restricted to 25% capacity."
9777,"The remaining manufacturers, industrial and other infrastructure operations that had not been considered essential may open. Hoosiers who can work from home are encouraged to continue to do so."
9778,"Essential travel restrictions will be lifted, and social gatherings of up to 25 people will be permitted following the 
@CDCgov
's social distancing guidelines."
9779,"In Stage 2 to protect the most vulnerable to #COVID19, Hoosiers 65 and over and those with high-risk health conditions – who are the most vulnerable to the coronavirus – should remain at home."
